task,state,success,task_description,policy_query_count,executed_policy_steps,last_environment_step,eef_movement_l2,mean_action_l2,max_action_l2,gripper_sign_flips,jsonl_path,video_path
4,0,True,put the white mug on the left plate and put the yellow and white mug on the right plate,46,229,238,0.40829702473220564,1.1582686301866982,1.350441875955782,3,experiments/day24_ten_task_screen/task4/state0/ckptday22_s13999_screen_task4_state0.jsonl,experiments/day24_ten_task_screen/task4/state0/ckptday22_s13999_screen_task4_state0.mp4
4,1,True,put the white mug on the left plate and put the yellow and white mug on the right plate,42,207,216,0.3799001995523912,1.1509660025953863,1.4583744529445934,3,experiments/day24_ten_task_screen/task4/state1/ckptday22_s13999_screen_task4_state1.jsonl,experiments/day24_ten_task_screen/task4/state1/ckptday22_s13999_screen_task4_state1.mp4
4,2,True,put the white mug on the left plate and put the yellow and white mug on the right plate,45,223,232,0.3454449893090002,1.1567899393310817,1.3727419849273321,3,experiments/day24_ten_task_screen/task4/state2/ckptday22_s13999_screen_task4_state2.jsonl,experiments/day24_ten_task_screen/task4/state2/ckptday22_s13999_screen_task4_state2.mp4
5,0,True,pick up the book and place it in the back compartment of the caddy,38,187,196,0.266931123901216,1.1754140378156859,1.631840623380926,1,experiments/day24_ten_task_screen/task5/state0/ckptday22_s13999_screen_task5_state0.jsonl,experiments/day24_ten_task_screen/task5/state0/ckptday22_s13999_screen_task5_state0.mp4
5,1,True,pick up the book and place it in the back compartment of the caddy,36,180,189,0.1870336953290018,1.1182322185194724,1.4029423905828151,1,experiments/day24_ten_task_screen/task5/state1/ckptday22_s13999_screen_task5_state1.jsonl,experiments/day24_ten_task_screen/task5/state1/ckptday22_s13999_screen_task5_state1.mp4
5,2,False,pick up the book and place it in the back compartment of the caddy,104,520,529,0.2932341192585031,1.190007104320562,1.6371914446168976,22,experiments/day24_ten_task_screen/task5/state2/ckptday22_s13999_screen_task5_state2.jsonl,experiments/day24_ten_task_screen/task5/state2/ckptday22_s13999_screen_task5_state2.mp4
6,0,True,put the white mug on the plate and put the chocolate pudding to the right of the plate,89,442,451,0.31496933310837577,1.0852056468989664,1.4068218294826622,3,experiments/day24_ten_task_screen/task6/state0/ckptday22_s13999_screen_task6_state0.jsonl,experiments/day24_ten_task_screen/task6/state0/ckptday22_s13999_screen_task6_state0.mp4
6,1,True,put the white mug on the plate and put the chocolate pudding to the right of the plate,50,247,256,0.23364843867465035,1.1169687894259732,1.44447902749495,5,experiments/day24_ten_task_screen/task6/state1/ckptday22_s13999_screen_task6_state1.jsonl,experiments/day24_ten_task_screen/task6/state1/ckptday22_s13999_screen_task6_state1.mp4
6,2,True,put the white mug on the plate and put the chocolate pudding to the right of the plate,48,237,246,0.28715911630403174,1.1279002174187818,1.3931816957088348,5,experiments/day24_ten_task_screen/task6/state2/ckptday22_s13999_screen_task6_state2.jsonl,experiments/day24_ten_task_screen/task6/state2/ckptday22_s13999_screen_task6_state2.mp4
7,0,True,put both the alphabet soup and the cream cheese box in the basket,54,267,276,0.24457677108658513,1.1859263426552116,1.619341021535385,12,experiments/day24_ten_task_screen/task7/state0/ckptday22_s13999_screen_task7_state0.jsonl,experiments/day24_ten_task_screen/task7/state0/ckptday22_s13999_screen_task7_state0.mp4
7,1,True,put both the alphabet soup and the cream cheese box in the basket,87,432,441,0.28525280667855046,1.1866295569143432,1.5534096555227146,14,experiments/day24_ten_task_screen/task7/state1/ckptday22_s13999_screen_task7_state1.jsonl,experiments/day24_ten_task_screen/task7/state1/ckptday22_s13999_screen_task7_state1.mp4
7,2,True,put both the alphabet soup and the cream cheese box in the basket,48,238,247,0.25012163701049056,1.2051403683139426,1.6453473642543275,6,experiments/day24_ten_task_screen/task7/state2/ckptday22_s13999_screen_task7_state2.jsonl,experiments/day24_ten_task_screen/task7/state2/ckptday22_s13999_screen_task7_state2.mp4
8,0,False,put both moka pots on the stove,104,520,529,0.1905440469395595,1.1283630184174454,1.413625364725419,6,experiments/day24_ten_task_screen/task8/state0/ckptday22_s13999_screen_task8_state0.jsonl,experiments/day24_ten_task_screen/task8/state0/ckptday22_s13999_screen_task8_state0.mp4
8,1,False,put both moka pots on the stove,104,520,529,0.3951208843545612,1.0609752791311788,1.3087316527740884,26,experiments/day24_ten_task_screen/task8/state1/ckptday22_s13999_screen_task8_state1.jsonl,experiments/day24_ten_task_screen/task8/state1/ckptday22_s13999_screen_task8_state1.mp4
8,2,False,put both moka pots on the stove,104,520,529,0.36635563815414457,1.0255238683331898,1.2072024819119813,13,experiments/day24_ten_task_screen/task8/state2/ckptday22_s13999_screen_task8_state2.jsonl,experiments/day24_ten_task_screen/task8/state2/ckptday22_s13999_screen_task8_state2.mp4
9,0,True,put the yellow and white mug in the microwave and close it,51,252,261,0.2444748141308006,1.1440376391407654,1.4672495583945615,8,experiments/day24_ten_task_screen/task9/state0/ckptday22_s13999_screen_task9_state0.jsonl,experiments/day24_ten_task_screen/task9/state0/ckptday22_s13999_screen_task9_state0.mp4
9,1,False,put the yellow and white mug in the microwave and close it,104,520,529,0.40412401320571123,1.1205088425756313,1.356206281211687,2,experiments/day24_ten_task_screen/task9/state1/ckptday22_s13999_screen_task9_state1.jsonl,experiments/day24_ten_task_screen/task9/state1/ckptday22_s13999_screen_task9_state1.mp4
9,2,True,put the yellow and white mug in the microwave and close it,54,270,279,0.24187331778371043,1.172664373135797,1.443962202412501,8,experiments/day24_ten_task_screen/task9/state2/ckptday22_s13999_screen_task9_state2.jsonl,experiments/day24_ten_task_screen/task9/state2/ckptday22_s13999_screen_task9_state2.mp4
